,business_name_left,business_name_right,best_match_score
86706,"ABC Custom Iron & Locksmith, Inc","ABC CUSTOM IRON & LOCKSMITH, INC.",1.9060904495830466
68980,Vexor Custom Woodworking Tools,VEXOR CUSTOM WOODWORKING TOOLS INC.,1.8338433391420261
89588,The Infinite Monkey Theorem,THE INFINITE MONKEY THEOREM,1.7337518361191704
90275,"Golden West Plumbing, Heating, Air Conditioning, and Electrical","GOLDEN WEST PLUMBING, HEATING & AIR CONDITIONING INC.",1.707841136770528
41129,Ralph's Industrial Sewing Machine Co,RALPH'S INDUSTRIAL SEWING MACHINE COMPANY,1.6904874959947276
28786,Busick Insulated Glass Inc,"BUSICK INSULATED GLASS, INC.",1.6765583852248869
102855,"B&B Heating & Air Conditioning, Inc.","B & B HEATING AND AIR CONDITIONING, INC.",1.6501881879705065
23677,Aspen Electronics Manufacturing Inc.,ASPEN ELECTRONICS MANUFACTURING INC,1.6127910067655125
31886,CVJ Axles Inc,"CVJ AXLES, INC",1.6048540905282336
86481,Hot Water Now!,HOT WATER NOW LLC,1.5958377867577587
98536,Oriental Rug and Carpet Clinic,ORIENTAL RUG AND CARPET CLINIC,1.58822298949895
89950,Da Vinci Designs,"DA VINCI DESIGNS, INC.",1.5830902454363567
31887,Green Sol Chemical Corporation,GREEN SOL CHEMICAL CORPORATION,1.5771601352690616
102694,"Mile High Laser Engraving, LLC",MILE HIGH LASER ENGRAVING,1.5686103181720223
49076,Sleeping Giant Brewing Company,SLEEPING GIANT BREWING COMPANY LLC,1.5669305929627302
65288,Bonacquisti Wine Company,BONACQUISTI WINE COMPANY,1.561152783658073
65915,Artist Proof Collective,ARTIST PROOF COLLECTIVE LLC,1.5403699708282397
51360,Never Summer Industries,NEVER SUMMER INDUSTRIES,1.5156010200145738
113393,A One Stop Print Shop,A ONE STOP PRINT SHOP INC,1.502272572044813
31663,Rocky Mountain Food Factory,ROCKY MOUNTAIN FOOD FACTORY INC,1.4886927896745827
7961,"RPC Manufacturing Solutions, LLC","RPC MANUFACTURING SOLUTIONS, LLC",1.4842714323986053
17906,Electro Mechanical Products,"ELECTRO-MECHANICAL PRODUCTS, INC.",1.4834081514585382
56816,Brekhus Tile & Stone,BREKHUS TILE & STONE INC,1.4727666175030296
26888,Plateau Machinery Inc,"PLATEAU MACHINERY, INC.",1.461359147396993
38375,Wheat Ridge Poultry and Meats,WHEAT RIDGE POULTRY &AMP; MEATS,1.4591910891359772
43139,Silver Engineering Works,"SILVER ENGINEERING WORKS, LLC",1.4574600533588156
18126,Tools For Bending Inc.,"TOOLS FOR BENDING, INC.",1.4551659149664593
28409,Cains Creative Cakes,CAINS CREATIVE CAKES LLC,1.4459597770366703
61227,Advanced Cylinders Manufacturing & Repair Inc.,ADVANCED CYLINDERS MANUFACTURING AND REPAIR INC,1.4389162511356788
49522,Elevation Reps of the Rockies,ELEVATION REPS OF THE ROCKIES,1.4315205958491488
84588,Renaissance Leather,RENAISSANCE LEATHER,1.408432408202921
76090,Lakeside Heating & Air Conditioning,LAKESIDE HEATING & AIR CONDITIONING INC.,1.401542576004133
83251,Rock River Ranches,ROCK RIVER RANCHES LLC,1.4004241612384076
15582,"Geotech Environmental Equipment, Inc.","GEOTECH ENVIRONMENTAL EQUIPMENT, INC",1.3995011897491636
9213,Eaton Metal Products Co,EATON METAL PRODUCTS CO.,1.394268213458024
24670,Bierstadt Lagerhaus,BIERSTADT LAGERHAUS,1.3818920301128672
34322,"Aveno Antiguo, Inc","AVENO ANTIGUO, INC",1.3785303156228614
99796,Carniceria La Guadalajara,CARNICERIA LA GUADALAJARA,1.3607436091668128
6817,Amen Packaging Inc,AMEN PACKAGING INC,1.3583122325312316
40786,Ram Grinding,RAM GRINDING INC,1.3532916071899075
9868,Industrialex Manufacturing,INDUSTRIALEX MANUFACTURING CORP.,1.3474329092617034
67944,Accent Fence and Design,ACCENT FENCE AND DESIGN LLC.,1.346086283488327
64335,Foothills Custom Cabinet,FOOTHILLS CUSTOM CABINET,1.3458161079341602
40182,ABM Fabrication & Machining,ABM FABRICATION & MACHINING LLC,1.3368627934521473
67141,Carniceria La Sierra,CARNICERIA LA SIERRA INC,1.322259766549181
17555,Kerr Panel Manufacturing,KERR PANEL MANUFACTURING,1.3178726296765042
67943,S & H Products,S & H PRODUCTS LLC,1.3084080592862606
76728,"Rocket Seals, Inc.","ROCKET SEALS, INC.",1.307061071376091
94263,Technicraft Manufacturing Inc,TECHNICRAFT MANUFACTURING INC,1.279579506617585
437,T & H Manufacturing LLC,T & H MANUFACTURING LLC,1.2596847844898535
3102,Focused Light LLC,FOCUSED LIGHT LLC,1.2523529215548899
436,Monarch Metal Manufacturing,MONARCH METAL MANUFACTURING,1.2509794813871387
25775,Bron Tapes,"BRON TAPES HOLDING, INC.",1.2430329339808408
40367,The Real Dill,"THE REAL DILL, LLC",1.2277678974804471
26106,Harrow Sports,HARROW SPORTS,1.2167802779325239
39996,"Boker USA, Inc.",BOKER USA INC,1.2111170370212545
14339,NuLine Manufacturing Inc.,NULINE MANUFACTURING INCORPORATED,1.2088774299478848
7025,Acme Manufacturing Company,"ACME MANUFACTURING COMPANY, INC.",1.2069929119352432
58241,"Copeland Precast, Inc.","COPELAND ENTERPRISES, INC. DBA COPELAND PRECAST, INC.",1.20102862571528
53671,Pro Cabinet Solutions,PRO CABINET SOLUTIONS INC,1.1927941987275503
70941,Metal Roofing Solutions,METAL ROOFING SOLUTIONS LLC,1.1871143443838894
72432,R & M Sales Co Inc,R & M SALES CO INC,1.186289843285545
56570,Integrity Fire Safety Services,"INTEGRITY FIRE SAFETY SERVICES, LLC",1.1741126196709772
37373,Paramount Fabrics Inc,PARAMOUNT FABRICS INC,1.1699140798425942
32576,"Rylind Manufacturing, Inc","RYLIND MANUFACTURING, INC.",1.1598367093052095
128,Unique Manufacturing & Marketing,UNIQUE MANUFACTURING AND MARKETING INC,1.1583518127114596
13322,Control Design & Manufacturing,"CONTROL DESIGN &AMP; MANUFACTURING, INC.",1.1555180703433943
78752,Sincerely Yours,SINCERELY YOURS,1.1382074890362228
63830,Denver Restaurant Equipment Corp.,DENVER RESTAURANT EQUIPMENT,1.1313197043866885
34321,Gates & Sons Inc,"GATES AND SONS, INC.",1.1285672624265264
40332,Neocom Promo LLC,NEOCOM PROMO LLC,1.1269746827277987
61655,Sportique Scooters,"SPORTIQUE SCOOTERS, LLC",1.1233159801932624
1238,Alfred Manufacturing Co Inc,ALFRED MANUFACTURING INC.,1.123266787368319
57902,Columbine Paper & Maintenance,"COLUMBINE PAPER & MAINTENANCE SUPPLY CO., INC",1.095817248432144
48355,The Duck Company,THE DUCK COMPANY,1.0796720444951577
69339,Knotty Tie Co.,KNOTTY TIE CO.,1.0744768365929385
26787,Fabrications Unlimited,FABRICATIONS UNLIMITED INC,1.0632831808668235
12837,Wanco Inc.,WANCO INC,1.046330431971612
30026,"Zimmerman Metals, Inc.","ZIMMERMAN METALS, INC.",1.0310624149934047
3087,Cobitco Inc,"COBITCO, INC.",1.0117912324531921
47896,Flink Supply Co,"FLINK SUPPLY COMPANY, LLC",0.9950682318468932
22673,Genesee Biomedical Inc,"GENESEE BIOMEDICAL, INC.",0.9940895470219849
17040,Right Stuff Equipment,RIGHT STUFF EQUIPMENT SUPPLY LLC,0.9857584051010037
50137,Dairy Engineering Company,DAIRY ENGINEERING COMPANY,0.9803893697166526
93047,Paramount Audio Video Corp.,PARAMOUNT AUDIO VIDEO CORPORATION,0.9725280394212352
54269,Direct Polymers,DIRECT POLYMERS LLC,0.9712401195472845
55578,Maglin Corporation,MAGLIN CORPORATION,0.9689678501133011
14333,PHM Brands,"PHM BRANDS, LLC",0.9484882608422722
14985,Arvada Pump Company,ARVADA PUMP CO. INC,0.9472615050627732
74226,Old Western Paint Co Inc,"OLD WESTERN PAINTS, INC.",0.9466773427401376
8182,Ready Foods Inc,"READY FOODS, INC.",0.9450980458294178
25776,Karl Schmidt Mfg,"KARL SCHMIDT MANUFACTURING, INC.",0.9404496671258128
33300,"Pre Action Fire, Inc",PRE ACTION FIRE,0.9277749174092704
72229,Cinegration LLC,CINEGRATION LLC,0.9248552106661876
25774,Seader Custom Metal Works,SEADER CUSTOM METAL,0.9061696368356195
57208,Talnua Distillery,"TALNUA, LLC",0.9061443164892211
43808,Medical Creations Inc,MEDICAL CREATIONS INC,0.9026685974711764
4893,"AAAA Specialties, Inc. - Custom Spring Manufacturing","AAAA SPECIALTIES, INC.",0.9001786183467183
68978,Actall Corporation,ACTALL CORPORATION,0.8999679397344328
104357,Colorado Saddlery,COLORADO SADDLERY LLC,0.8911279929209531
10733,Innovations Manufacturing,"INNOVATIONS MANUFACTURING, INC.",0.8819538376570043
40005,Denver Distillery,"DENVER DISTILLERY, LLC",0.8765670592117647
2906,Whipchek Manufacturing Corporation,WHIPCHEK MFG CO,0.8763607560402724
49523,Republic Manufacturing (formerly Joost Industrial),"JOOST INDUSTRIAL, INC",0.8711600205677503
99062,"Liquidyne Process Technologies, Inc.","SEEQUS, INC",0.8668008561149679
85015,Hoff Miller Ltd,"HOFF MILLER, LTD.",0.8580461236312932
41399,SomePlace Else Brewery,SOMEPLACE ELSE LLC,0.8377371751569487
106200,Genghis Kern Letterpress & Design,GENGHIS KERN INC,0.8331094902792029
57072,Hydro Rocky Mountain,"HYDRO ROCKY MOUNTAIN, INC.",0.8202376686158385
65086,Rio Grande Co Design Center,RIO GRANDE CO.,0.816191946876521
85551,Seattle Fish Co.,SEATTLE FISH COMPANY,0.8098602351944001
17606,Summit Brick Company - Lakewood Plant,THE LAKEWOOD BRICK AND TILE COMPANY,0.8075044893790111
31359,Regional Sales Co,REGIONAL SALES COMPANY,0.8005832589254825
