business_name,zip,address_clean,city_clean,state_clean,cluster_id,link_score,source_file
Monarch Metal Manufacturing,80216,550 W 53rd Pl,Denver,Colorado,77,0.8278817,0
T & H Manufacturing LLC,80219,581 S Federal Blvd,Denver,Colorado,283,0.6687842,0
Ready Foods Inc,80204,2705 W Colfax Ave,Denver,Colorado,323,0.6308904,0
Alfred Manufacturing Co Inc,80216,4398 Elati St,Denver,Colorado,156,0.77686155,0
Vella Manufacturing,80223,2665 S Santa Fe Dr # 5H,Denver,Colorado,55,0.8526372,0
WestFax Brewing Company,80214,6733 W Colfax Ave,Lakewood,Colorado,174,0.7640051,0
sansusa,80219,2505 W 2nd Ave #2,Denver,Colorado,217,0.72857445,0
Mile High Infusions,80219,1212 S Federal Blvd #709,Denver,Colorado,293,0.6549688,0
Cohesion Brewing,80205,3851 Steele St Unit 1388,Denver,Colorado,297,0.6510823,0
National Plastics Trading Company Inc.,80202,1551 Larimer St,Denver,Colorado,204,0.73926145,0
Coolerado Manufacturing Facility,80216,4430 Glencoe St #4510,Denver,Colorado,221,0.72616094,0
Lakewood Manufacturing Co,80465,3000 S Rooney Rd,Morrison,Colorado,336,0.62350154,0
Whipchek Manufacturing Corporation,80002,4935 Allison St # 7,Arvada,Colorado,74,0.8319655,0
Budz Butter,80223,1280 S Jason St,Denver,Colorado,85,0.82341605,0
Cobitco Inc,80216,5301 Bannock St,Denver,Colorado,308,0.64239424,0
Donapops,80246,5300 E Cherry Creek S Dr,Denver,Colorado,314,0.6363326,0
Focused Light LLC,80002,5533 Gray St,Arvada,Colorado,22,0.87590885,0
Atkins Nutritionals Inc,80202,1225 17th St #1000,Denver,Colorado,111,0.8057545,0
Challenger Manufacturing Consultants Inc,80401,15740 W 6th Ave,Golden,Colorado,191,0.7526964,0
Mile High Custom Food Trucks,80216,955 E 58th Ave # E,Denver,Colorado,343,0.62032545,0
Deftmark,80204,909 Bannock St #609,Denver,Colorado,170,0.7678254,0
Colorado Machining and Manufacturing,80216,250 E E 54th Ave # E,Denver,Colorado,234,0.7141767,0
"AAAA Specialties, Inc. - Custom Spring Manufacturing",80202,3030 Huron St,Denver,Colorado,40,0.8631309,0
Holmboe Manufacturing Co Inc,80020,7051 W 117th Ave,Broomfield,Colorado,143,0.78324693,0
"AMP Manufacturing, LLC.",80229,6535 York St #108,Denver,Colorado,23,0.875675,0
Lowtemp Industries,80002,6395 W 56th Ave,Arvada,Colorado,102,0.8119359,0
"English Manufacturing, Inc.",80229,601 E 64th Ave,Denver,Colorado,184,0.7569796,0
Mastertech Manufacturing,80228,12450 W Cedar Dr,Denver,Colorado,60,0.8471855,0
Amen Packaging Inc,80216,5285 Fox St,Denver,Colorado,8,0.90608144,0
Welhub,80002,6100 W 55th Ave,Arvada,Colorado,131,0.79020435,0
Acme Manufacturing Company,80216,4661 Monaco St,Denver,Colorado,214,0.7305607,0
Lane Manufacturing Inc,80231,8200 E Pacific Pl Suite 107,Denver,Colorado,72,0.8334386,0
Designtex Inc.,80205,2501 Blake St,Denver,Colorado,79,0.827701,0
"RPC Manufacturing Solutions, LLC",80020,11811 Upham St #5,Broomfield,Colorado,7,0.90693265,0
Ready Foods Inc,80204,2645 W 7th Ave,Denver,Colorado,138,0.787041,0
Dawn Industries,80002,5055 W 58th Ave,Arvada,Colorado,276,0.67276555,0
"ILONA, INC.",80206,3201 E 2nd Ave Unit 300,Denver,Colorado,48,0.85806906,0
Eaton Metal Products Co,80216,4800 York St,Denver,Colorado,43,0.86115783,0
The Flag Makers LLC,80202,600 17th St Suite 2800,Denver,Colorado,21,0.87639844,0
Industrialex Manufacturing,80403,6250 Joyce Dr,Arvada,Colorado,150,0.7791529,0
Stryker,80206,3017 E 2nd Ave,Denver,Colorado,196,0.7463714,0
Rex Overland,80002,6104 W 55th Ave,Arvada,Colorado,318,0.63493866,0
Acro Manufacturing Corporation,80110,3999 S Mariposa St,Englewood,Colorado,175,0.7628886,0
Elevation Foods,80206,250 Fillmore St #500,Denver,Colorado,321,0.63156277,0
Joaquin Manufacturing,80022,6900 Elm Dr,Commerce City,Colorado,149,0.7797469,0
Innovations Manufacturing,80216,4555 Grape St #6441,Denver,Colorado,66,0.84198725,0
Ouroboros Fabrication LLC,80214,5815 W 6th Ave,Lakewood,Colorado,31,0.8682442,0
Industrial Specialties Mfg. & IS Med Specialties (ISM),80110,4091 S Eliot St,Englewood,Colorado,9,0.905078,0
Plastic Creations Ltd,80223,1360 S Lipan St,Denver,Colorado,71,0.8334898,0
Choice Manufacturing,80022,5598 Monaco St Unit C,Commerce City,Colorado,277,0.67181504,0
JK Concepts,80216,3333 E 52nd Ave,Denver,Colorado,65,0.84224355,0
Ready Foods,80216,5270 Fox St,Denver,Colorado,127,0.7931375,0
Wanco Inc.,80003,5870 Tennyson St,Arvada,Colorado,322,0.6312936,0
Shortgirlstickerz,80232,1130 S Reed St,Lakewood,Colorado,108,0.80755925,0
Nova Engineering,80211,1011 W 45th Ave,Denver,Colorado,73,0.8330557,0
Control Design & Manufacturing,80110,2626 S Zuni St,Englewood,Colorado,64,0.8450227,0
Odyssey Beerwerks Brewery & Taproom,80002,5535 W 56th Ave #107,Arvada,Colorado,154,0.7783032,0
PHM Brands,80202,730 17th St #600,Denver,Colorado,132,0.7899334,0
NuLine Manufacturing Inc.,80239,11333 E 55th Ave Unit C,Denver,Colorado,80,0.82767946,0
Thermal Solutions Manufacturing,80216,6750 E 46th Ave Dr #400,Denver,Colorado,158,0.77584696,0
Berridge Manufacturing Distribution Center,80216,7505 E 41st Ave,Denver,Colorado,180,0.7603791,0
"Geotech Environmental Equipment, Inc.",80205,2650 E 40th Ave,Denver,Colorado,83,0.82483315,0
Mace Manufacturing,80110,3975 S Kalamath St,Englewood,Colorado,341,0.6219152,0
CPI (Compressor Products International),80002,5405 W 56th Ave unit e,Arvada,Colorado,250,0.698318,0
Alpine Precision Manufacturing,80216,6885 E 48th Ave,Denver,Colorado,296,0.6520751,0
WM Devices,80223,1145A W Custer Pl,Denver,Colorado,304,0.6457991,0
Colorado Serum Co,80216,4950 York St,Denver,Colorado,334,0.6251292,0
Bri-Chem Supply Corp,80211,2921 W 38th Ave,Denver,Colorado,86,0.82244235,0
LOOPY cncptâ¢dsgnâ¢mfg,80204,747 Santa Fe Dr,Denver,Colorado,299,0.64974934,0
Summit Brick Company - Lakewood Plant,80214,1325 Jay St,Lakewood,Colorado,12,0.8990179,0
Luckyleo Dancewear Warehouse,80223,90 S Santa Fe Dr,Denver,Colorado,263,0.6832666,0
Electro Mechanical Products,80401,897 Tabor St,Lakewood,Colorado,166,0.7716756,0
Evo-Lite,80002,6240 W 54th Ave,Arvada,Colorado,30,0.8691891,0
Tools For Bending Inc.,80223,194 W Dakota Ave,Denver,Colorado,219,0.72683156,0
Electraeon Manufacturing Services,80640,8777 Brighton Rd,Henderson,Colorado,211,0.7309873,0
