,rank,business_name,logo,description,address,location,reviews,category,timezone,price_range,language,is_claimed,extra,identity,opening_hours,status,media,activity,devices,external_id,feature_id,gkg_id,owner,phone,url,appointment,website,address_clean,state_clean,city_clean,zip
86477,96,"ABC Custom Iron & Locksmith, Inc","['https://lh6.googleusercontent.com/-qLWcD6Vjkyg/AAAAAAAAAAI/AAAAAAAAAAA/pQsMOWuqhoA/s400-p-k-no-ns-nd/photo.jpg', 'https://lh6.googleusercontent.com/-qLWcD6Vjkyg/AAAAAAAAAAI/AAAAAAAAAAA/pQsMOWuqhoA/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '550 Santa Fe Dr', 'postcode': '80204', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.724995, 'lng': -104.9983038}",,"{'items': ['Door manufacturer', 'Fence contractor', 'Iron works', 'Railing contractor'], 'primary': None}",America/Denver,,,True,,,,1,"{'items': [{'url': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PWuA0oXXTX2dHasEZh9ejg&cb_client=search.gws-prod.gps&w=1024&h=768&yaw=77.17449&pitch=0&thumbfov=100', 'type': 'street_view', 'created_at': '2024-11-01 07:00:00', 'caption': 'ABC Custom Iron & Locksmith, Inc'}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipPHfnCC3uIs0LEvH7xJP2LaeuGjYmSZqPKUMiJw=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2024-05-18 16:00:00', 'caption': None}], 'count': 2, 'types': ['photo', 'street_view']}","{'min': '2024-05-18 16:00:00', 'max': '2024-05-18 16:00:00'}","['bizbuilder:gmb_onboarding_web', 'launch']",ChIJLzO09oB_bIcR2fEfiKn84rA,0x876c7f80f6b4332f:0xb0e2fca9881ff1d9,/g/11vzxtz9d4,"{'external_id': '112409930759442725854', 'url': 'https://www.google.com/maps/contrib/112409930759442725854'}","[{'raw': '+1 303-534-0862', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13035340862', 'local': '(303) 534-0862', 'location': 'Denver, CO', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/ABC+Custom+Iron+%26+Locksmith%2C+Inc/@39.724995,-104.9983038,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7f80f6b4332f:0xb0e2fca9881ff1d9!8m2!3d39.724995!4d-104.9983038",,"{'domain': 'abccustomiron.com', 'platform': None, 'url': 'https://www.abccustomiron.com/'}",550 Santa Fe Dr,Colorado,Denver,80204
68909,78,Vexor Custom Woodworking Tools,"['https://lh6.googleusercontent.com/-UYjqwTrwEVA/AAAAAAAAAAI/AAAAAAAAAAA/HjdfStFBGCg/s400-p-k-no-ns-nd/photo.jpg', 'https://lh6.googleusercontent.com/-UYjqwTrwEVA/AAAAAAAAAAI/AAAAAAAAAAA/HjdfStFBGCg/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '7162 Washington St', 'postcode': '80229', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.826597, 'lng': -104.97640829999999}","{'rating': 4.5, 'count': 31, 'spread': [3, 0, 1, 1, 26]}","{'items': ['Tool manufacturer', 'Machine shop', 'Saw sharpening service', 'Sharpening service', 'Woodworking supply store'], 'primary': None}",America/Denver,0.0,,True,"{'accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'payments': ['Credit cards', 'Debit cards']}",,,1,"{'items': [], 'count': 75, 'types': []}","{'min': None, 'max': None}",[],ChIJ-bqysHt3bIcR1iGCgl94PdI,0x876c777bb0b2baf9:0xd23d785f828221d6,/g/1tgpypnv,"{'external_id': '104453799335031209625', 'url': 'https://www.google.com/maps/contrib/104453799335031209625'}","[{'raw': '+1 303-286-8906', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13032868906', 'local': '(303) 286-8906', 'location': 'Colorado', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/Vexor+Custom+Woodworking+Tools/@39.826597,-104.97640829999999,17z/data=!3m1!4b1!4m5!3m4!1s0x876c777bb0b2baf9:0xd23d785f828221d6!8m2!3d39.826597!4d-104.97640829999999",,"{'domain': 'vexorcwt.com', 'platform': None, 'url': 'http://www.vexorcwt.com/'}",7162 Washington St,Colorado,Denver,80229
89347,98,The Infinite Monkey Theorem,"['https://lh4.googleusercontent.com/-n0741ND_uOI/AAAAAAAAAAI/AAAAAAAAAAA/04b7hRaGCzE/s400-p-k-no-ns-nd/photo.jpg', 'https://lh4.googleusercontent.com/-n0741ND_uOI/AAAAAAAAAAI/AAAAAAAAAAA/04b7hRaGCzE/s60-p-k-no-ns-nd/photo.jpg']",This bustling industrial-chic winery & taproom regularly hosts food trucks & social gatherings.,"{'street': '3200 Larimer St', 'postcode': '80205', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.764216399999995, 'lng': -104.9778219}","{'rating': 4.5, 'count': 357, 'spread': [17, 8, 18, 59, 255]}","{'items': ['Winery'], 'primary': None}",America/Denver,2.0,,True,"{'service_options': ['On-site services', 'Delivery'], 'accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'amenities': ['Bar on site'], 'payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",,"[{'day': 1, 'hours': [16, 21]}, {'day': 2, 'hours': [16, 22]}, {'day': 3, 'hours': [16, 22]}, {'day': 4, 'hours': [16, 22]}, {'day': 5, 'hours': [14, 22]}, {'day': 6, 'hours': [14, 22]}, {'day': 7, 'hours': [14, 22]}]",1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipNuPZS2bOVV4awAOvM8HF8BwRoDUi9n7sToh574=w1024-h768-k-no', 'type': 'photo', 'created_at': '2021-07-24 14:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMm965JxCHVGnYnuHN7RAwVEFdAEts-R9wR92XP=w1024-h768-k-no', 'type': 'photo', 'created_at': '2016-11-05 21:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMVzu40g0jGRX0vMI3yHzp6E1nz2534EfxCQzW5=w1024-h576-k-no', 'type': 'photo', 'created_at': '2016-10-28 15:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipNSYB3NqL5xf9GXDobOCawLVx6q_4Z4QZKsh06I=w1024-h768-k-no', 'type': 'photo', 'created_at': '2016-05-21 22:00:00', 'caption': None}], 'count': 264, 'types': ['photo']}","{'min': '2016-05-21 22:00:00', 'max': '2021-07-24 14:00:00'}","['photos:gmm_android', 'photos:gmm_android_review_post', 'photos:gmm_ios']",ChIJ-24y-zp_bIcROMVgO9GH190,0x876c7f3afb326efb:0xddd787d13b60c538,/g/1tk6wdg3,"{'external_id': '117708285165945337604', 'url': 'https://www.google.com/maps/contrib/117708285165945337604'}","[{'raw': '+1 512-271-6807', 'area_code': '512', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+15122716807', 'local': '(512) 271-6807', 'location': 'Texas', 'carrier': None, 'exchange': 'AUSTIN', 'company': 'LEVEL 3 COMMUNICATIONS, LLC - TX', 'adm1': 'TX'}]","https://www.google.com/maps/place/The+Infinite+Monkey+Theorem/@39.764216399999995,-104.9778219,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7f3afb326efb:0xddd787d13b60c538!8m2!3d39.764216399999995!4d-104.9778219",,"{'domain': 'theinfinitemonkeytheorem.com', 'platform': None, 'url': 'http://theinfinitemonkeytheorem.com/'}",3200 Larimer St,Colorado,Denver,80205
90034,99,"Golden West Plumbing, Heating, Air Conditioning, and Electrical","['https://lh5.googleusercontent.com/-CQbpjmdcPBc/AAAAAAAAAAI/AAAAAAAAAAA/ntI7oQphGv8/s400-p-k-no-ns-nd/photo.jpg', 'https://lh5.googleusercontent.com/-CQbpjmdcPBc/AAAAAAAAAAI/AAAAAAAAAAA/ntI7oQphGv8/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '4217 Delaware St', 'postcode': '80216', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.7747321, 'lng': -104.99259939999999}","{'rating': 4.8, 'count': 2939, 'spread': [106, 27, 9, 65, 2732]}","{'items': ['Plumber', 'Air conditioning contractor', 'Air conditioning repair service', 'Air conditioning system supplier', 'Drainage service', 'Electrician', 'Furnace repair service', 'Heating contractor', 'HVAC contractor'], 'primary': None}",America/Denver,0.0,,True,"{'service_options': ['On-site services'], 'payments': ['Credit cards']}",,,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipNGZPbEHsGKMBwdul-o8rw3WwgSXNI58wz4wIzx=w1024-h768-k-no', 'type': 'photo', 'created_at': '2023-07-26 19:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipM1PFGJc5bZCwzwj9bkh0Dffvcks8A314sOKjAK=w1024-h1820-k-no', 'type': 'video', 'created_at': '2023-05-16 13:00:00', 'caption': 'Golden West Plumbing, Heating, Air Conditioning, and Electrical'}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipNPWMC00WCx_1oESJp4BJRzCJE_nO_ZOYK4Ijsx=w1024-h768-k-no', 'type': 'photo', 'created_at': '2022-02-25 20:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipOftE_9BYRUpQpYO7NZ4eowddjrsv3VrFEBJBYf=w720-h720-k-no', 'type': 'photo', 'created_at': '2020-10-15 07:00:00', 'caption': None}], 'count': 165, 'types': ['photo', 'video']}","{'min': '2020-10-15 07:00:00', 'max': '2023-07-26 19:00:00'}","['bizbuilder:gmb_api', 'bizbuilder:gmb_on_local_universal_desktop', 'bizbuilder:gmb_web']",ChIJg1U6I_l4bIcRItUk9Hi71pc,0x876c78f9233a5583:0x97d6bb78f424d522,/g/1tycx44f,"{'external_id': '107182873854475394021', 'url': 'https://www.google.com/maps/contrib/107182873854475394021'}","[{'raw': '+1 720-303-3698', 'area_code': '720', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+17203033698', 'local': '(720) 303-3698', 'location': 'Colorado', 'carrier': None, 'exchange': None, 'company': None, 'adm1': None}]","https://www.google.com/maps/place/Golden+West+Plumbing%2C+Heating%2C+Air+Conditioning%2C+and+Electrical/@39.7747321,-104.99259939999999,17z/data=!3m1!4b1!4m5!3m4!1s0x876c78f9233a5583:0x97d6bb78f424d522!8m2!3d39.7747321!4d-104.99259939999999","{'platform': None, 'url': 'https://www.goldenwestph.com/contact-us/'}","{'domain': 'goldenwestph.com', 'platform': None, 'url': 'https://www.goldenwestph.com/'}",4217 Delaware St,Colorado,Denver,80216
41265,52,Ralph's Industrial Sewing Machine Co,"['https://lh4.googleusercontent.com/-crfKw5xdc_Q/AAAAAAAAAAI/AAAAAAAAAAA/c69WRaHJAhM/s400-p-k-no-ns-nd/photo.jpg', 'https://lh4.googleusercontent.com/-crfKw5xdc_Q/AAAAAAAAAAI/AAAAAAAAAAA/c69WRaHJAhM/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '2030 Clay St', 'postcode': '80211', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.7481937, 'lng': -105.0202649}","{'rating': 4.5, 'count': 37, 'spread': [4, 0, 1, 2, 30]}","{'items': ['Industrial equipment supplier', 'Sewing machine repair service', 'Sewing machine store', 'Sewing shop'], 'primary': None}",America/Denver,0.0,,True,"{'accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",,,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipMm8YneHC4WrR3Roc_qsJQAyRTF-jiciQcMAsmc=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2023-04-05 16:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMOdLS61GIPiBm0pgmlhjTV0fJg73SNy0daPGHZ=w994-h1992-k-no', 'type': 'photo', 'created_at': '2023-04-05 16:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipP1DS6oFEsv5TimhgwEnpHS2A2itZd8e5VOwUe_=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2023-04-05 16:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipM4rB050HTLTIPRp0sSMwwYQKErjRzEjwTfZ8Gf=w1024-h768-k-no', 'type': 'photo', 'created_at': '2022-01-26 21:00:00', 'caption': None}], 'count': 4, 'types': ['photo']}","{'min': '2022-01-26 21:00:00', 'max': '2023-04-05 16:00:00'}","['photos:gmm_android_review_post', 'photos:local_universal_mobile_review_post']",ChIJp2zITbt4bIcRz8krAaCgCN4,0x876c78bb4dc86ca7:0xde08a0a0012bc9cf,/g/1v1tnkvr,"{'external_id': '106151413625245673018', 'url': 'https://www.google.com/maps/contrib/106151413625245673018'}","[{'raw': '+1 303-455-6831', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13034556831', 'local': '(303) 455-6831', 'location': 'Denver, CO', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/Ralph%27s+Industrial+Sewing+Machine+Co/@39.7481937,-105.0202649,17z/data=!3m1!4b1!4m5!3m4!1s0x876c78bb4dc86ca7:0xde08a0a0012bc9cf!8m2!3d39.7481937!4d-105.0202649",,"{'domain': 'powersew.com', 'platform': None, 'url': 'https://powersew.com/'}",2030 Clay St,Colorado,Denver,80211
28885,38,Busick Insulated Glass Inc,,,"{'street': '585 Osage St', 'postcode': '80204', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.7248954, 'lng': -105.0060348}","{'rating': 4.8, 'count': 15, 'spread': [0, 1, 0, 0, 14]}","{'items': ['Glass manufacturer', 'Auto glass shop', 'Home goods store'], 'primary': None}",America/Denver,0.0,,False,"{'payments': ['Debit cards', 'Credit cards'], 'parking': ['On-site parking']}",,,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipOa6Gr1dRZuO8WtZgER0ffe1THdUTe-u-53lzkK=w1024-h768-k-no', 'type': 'photo', 'created_at': '2024-05-18 01:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipP_4xHh9rYAAQwyDdNljuAqiKLCnvjlmuVpIMoB=w1024-h1363-k-no', 'type': 'photo', 'created_at': '2023-08-25 18:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipPRwOIdMnx78isjYzn8YgBuaYQ304yzR1sQmRrf=w1024-h1363-k-no', 'type': 'photo', 'created_at': '2023-07-24 17:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipNXCp1fqbf-EteeKK3XuUy5BY_H7u7lIqHd1a9o=w1024-h576-k-no', 'type': 'photo', 'created_at': '2017-02-15 22:00:00', 'caption': None}], 'count': 4, 'types': ['photo']}","{'min': '2017-02-15 22:00:00', 'max': '2024-05-18 01:00:00'}",['photos:gmm_android'],ChIJY_EinTd_bIcRRbgbrpQ2EZo,0x876c7f379d22f163:0x9a113694ae1bb845,/g/1td6sqp9,,"[{'raw': '+1 303-534-5800', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13035345800', 'local': '(303) 534-5800', 'location': 'Denver, CO', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/Busick+Insulated+Glass+Inc/@39.7248954,-105.0060348,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7f379d22f163:0x9a113694ae1bb845!8m2!3d39.7248954!4d-105.0060348",,"{'domain': 'busickig.com', 'platform': None, 'url': 'http://www.busickig.com/'}",585 Osage St,Colorado,Denver,80204
102612,111,"B&B Heating & Air Conditioning, Inc.","['https://lh6.googleusercontent.com/-RQSdXO6-KAg/AAAAAAAAAAI/AAAAAAAAAAA/zYOrqw0yVDs/s400-p-k-no-ns-nd/photo.jpg', 'https://lh6.googleusercontent.com/-RQSdXO6-KAg/AAAAAAAAAAI/AAAAAAAAAAA/zYOrqw0yVDs/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '4892 Marshall St', 'postcode': '80033', 'city': 'Wheat Ridge', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.784851599999996, 'lng': -105.0678263}","{'rating': 4.9, 'count': 918, 'spread': [13, 4, 3, 14, 884]}","{'items': ['HVAC contractor', 'Air conditioning contractor', 'Air conditioning repair service', 'Air conditioning system supplier', 'Furnace repair service', 'Heating contractor', 'Heating equipment supplier'], 'primary': None}",America/Denver,0.0,,True,"{'service_options': ['On-site services'], 'offerings': ['Repair services']}",,,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipOxgw63I6I5VzMz4ATaUB5klcWCgs4Ba6e0MmDe=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2024-10-08 18:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipN0ovrwTyxvuWgAwBWVT8pSo_bHIMlWIgch5TFg=w1024-h767-k-no', 'type': 'photo', 'created_at': '2018-03-15 19:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMJ5dsoNctfylugGQKWOzZpcs-onp9gA9IYWpRc=w1024-h682-k-no', 'type': 'photo', 'created_at': '2016-04-01 17:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipOw0Rl3hWIc-TKAhxThss42_1AHaEZM1tPaWKkl=w1024-h682-k-no', 'type': 'photo', 'created_at': '2016-02-22 22:00:00', 'caption': None}], 'count': 4, 'types': ['photo']}","{'min': '2016-02-22 22:00:00', 'max': '2024-10-08 18:00:00'}","['bizbuilder:gmb_web', 'bizbuilder:merchant_panel_action_bar', 'photos:local_universal_mobile_review_post']",ChIJYTCSfLeHa4cR01W6LHjF_6E,0x876b87b77c923061:0xa1ffc5782cba55d3,/g/1vq75bmk,"{'external_id': '104457131482716648301', 'url': 'https://www.google.com/maps/contrib/104457131482716648301'}","[{'raw': '+1 303-423-7905', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13034237905', 'local': '(303) 423-7905', 'location': 'Arvada, CO', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/B%26B+Heating+%26+Air+Conditioning%2C+Inc./@39.784851599999996,-105.0678263,17z/data=!3m1!4b1!4m5!3m4!1s0x876b87b77c923061:0xa1ffc5782cba55d3!8m2!3d39.784851599999996!4d-105.0678263","{'platform': None, 'url': 'https://www.bbheating.com/contact/'}","{'domain': 'bbheating.com', 'platform': None, 'url': 'https://www.bbheating.com/'}",4892 Marshall St,Colorado,Wheat Ridge,80033
23749,29,Aspen Electronics Manufacturing Inc.,,,"{'street': '8975 Marshall Ct #100', 'postcode': '80031', 'city': 'Westminster', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.8591293, 'lng': -105.0684229}","{'rating': 3, 'count': 2, 'spread': [1, 0, 0, 0, 1]}","{'items': ['Electronics manufacturer'], 'primary': None}",America/Denver,0.0,,False,"{'accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance']}",,,1,"{'items': [{'url': 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ceeWqI9OItm4OXSeINs7Gg&cb_client=search.gws-prod.gps&w=1024&h=768&yaw=258.55273&pitch=0&thumbfov=100', 'type': 'street_view', 'created_at': '2024-11-01 12:00:00', 'caption': 'Aspen Electronics Manufacturing Inc.'}], 'count': 0, 'types': ['street_view']}","{'min': None, 'max': None}",['launch'],ChIJV4Js-xCJa4cRCbdqmznnqEQ,0x876b8910fb6c8257:0x44a8e7399b6ab709,/g/11gm989nnm,,"[{'raw': '+1 303-412-1216', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13034121216', 'local': '(303) 412-1216', 'location': 'Colorado', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/Aspen+Electronics+Manufacturing+Inc./@39.8591293,-105.0684229,17z/data=!3m1!4b1!4m5!3m4!1s0x876b8910fb6c8257:0x44a8e7399b6ab709!8m2!3d39.8591293!4d-105.0684229",,"{'domain': 'aemtronics.com', 'platform': None, 'url': 'http://aemtronics.com/'}",8975 Marshall Ct #100,Colorado,Westminster,80031
32007,42,CVJ Axles Inc,"['https://lh4.googleusercontent.com/-rdQC40tYCXk/AAAAAAAAAAI/AAAAAAAAAAA/WWqx2SkYvs4/s400-p-k-no-ns-nd/photo.jpg', 'https://lh4.googleusercontent.com/-rdQC40tYCXk/AAAAAAAAAAI/AAAAAAAAAAA/WWqx2SkYvs4/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '4101 Brighton Blvd', 'postcode': '80216', 'city': 'Denver', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.7759924, 'lng': -104.9721229}","{'rating': 4.2, 'count': 59, 'spread': [10, 1, 1, 0, 47]}","{'items': ['Machining manufacturer', 'Auto machine shop', 'Driveshaft shop'], 'primary': None}",America/Denver,0.0,,True,"{'accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'payments': ['Debit cards', 'NFC mobile payments', 'Credit cards'], 'parking': ['On-site parking']}",,,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipOtbCN-cNrEnG9_3mR2LDUdNP9wVbzTW1oCHfqt=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2023-08-02 20:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipPy__fq4ns1jGTXIvx1QA8Ob4tStRoHt8oaWEXB=w1024-h1365-k-no', 'type': 'photo', 'created_at': '2023-07-18 02:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMUkgFexzW0d4yJBPqrWJeo34kaeEGin1DZp91R=w1024-h768-k-no', 'type': 'photo', 'created_at': '2019-10-11 18:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipOP8UVXmhLFxJJtdq7obsAWXDDjcEt1v27q9XkX=w1024-h576-k-no', 'type': 'photo', 'created_at': '2017-03-15 17:00:00', 'caption': None}], 'count': 4, 'types': ['photo']}","{'min': '2017-03-15 17:00:00', 'max': '2023-08-02 20:00:00'}","['photos:gmm_android', 'photos:gmm_ios', 'photos:gmm_ios_review_post']",ChIJG4jg0Qh5bIcR6UA-eurwDgE,0x876c7908d1e0881b:0x10ef0ea7a3e40e9,/g/1tfq545q,"{'external_id': '113550876615452035851', 'url': 'https://www.google.com/maps/contrib/113550876615452035851'}","[{'raw': '+1 303-297-2448', 'area_code': '303', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+13032972448', 'local': '(303) 297-2448', 'location': 'Denver, CO', 'carrier': None, 'exchange': 'DENVER', 'company': 'QWEST CORPORATION', 'adm1': 'CO'}]","https://www.google.com/maps/place/CVJ+Axles+Inc/@39.7759924,-104.9721229,17z/data=!3m1!4b1!4m5!3m4!1s0x876c7908d1e0881b:0x10ef0ea7a3e40e9!8m2!3d39.7759924!4d-104.9721229",,"{'domain': 'cvjreman.com', 'platform': None, 'url': 'https://www.cvjreman.com/'}",4101 Brighton Blvd,Colorado,Denver,80216
86252,96,Hot Water Now!,"['https://lh5.googleusercontent.com/-3NFGVbdjYw0/AAAAAAAAAAI/AAAAAAAAAAA/SE3EdkjDEpw/s400-p-k-no-ns-nd/photo.jpg', 'https://lh5.googleusercontent.com/-3NFGVbdjYw0/AAAAAAAAAAI/AAAAAAAAAAA/SE3EdkjDEpw/s60-p-k-no-ns-nd/photo.jpg']",,"{'street': '1677 Wadsworth Blvd', 'postcode': '80214', 'city': 'Lakewood', 'adm1': 'Colorado', 'country': 'US'}","{'lat': 39.7433392, 'lng': -105.08177859999999}","{'rating': 4.7, 'count': 206, 'spread': [12, 3, 1, 5, 185]}","{'items': ['Plumber', 'Contractor', 'Pump supplier', 'Water softening equipment supplier', 'Water tank cleaning service'], 'primary': None}",America/Denver,0.0,,True,"{'service_options': ['Online estimates', 'On-site services'], 'accessibility': ['Wheelchair-accessible seating', 'Wheelchair-accessible toilet'], 'offerings': ['Repair services'], 'crowd': ['LGBTQ+ friendly', 'Transgender safe space'], 'planning': ['Appointment required'], 'payments': ['NFC mobile payments', 'Credit cards'], 'parking': ['On-site parking']}",['LGBTQ+ friendly'],,1,"{'items': [{'url': 'https://lh5.googleusercontent.com/p/AF1QipOZ19Nl9hBC7EVuq944b1oBu5-Of09mrQNDX_Gy=w1024-h768-k-no', 'type': 'photo', 'created_at': '2024-10-05 16:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipMcofqeRXtED1IhM7dwxsLn2f7JzVhqgpJtB1Jk=w1024-h576-k-no', 'type': 'photo', 'created_at': '2023-01-30 23:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipNhSjK3CWcjpSqB68YNxt_MJBKHDXQZHKPeC6FN=w1024-h682-k-no', 'type': 'photo', 'created_at': '2022-04-14 17:00:00', 'caption': None}, {'url': 'https://lh5.googleusercontent.com/p/AF1QipPRF6S3jKwNdRoUzMeII0axXcc1rxrEROH9xrs2=w1024-h576-k-no', 'type': 'video', 'created_at': '2018-05-17 18:00:00', 'caption': 'Hot Water Now!'}], 'count': 398, 'types': ['photo', 'video']}","{'min': '2018-05-17 18:00:00', 'max': '2024-10-05 16:00:00'}","['bizbuilder:gmb_api', 'bizbuilder:gmb_web']",ChIJ5doTWlqBa4cRDZH9UBr14zw,0x876b815a5a13dae5:0x3ce3f51a50fd910d,/g/11c58pc0qt,"{'external_id': '101115712642129642915', 'url': 'https://www.google.com/maps/contrib/101115712642129642915'}","[{'raw': '+1 720-934-8711', 'area_code': '720', 'type': 'FIXED_LINE_OR_MOBILE', 'country': 'US', 'country_code': '1', 'number': '+17209348711', 'local': '(720) 934-8711', 'location': 'Colorado', 'carrier': None, 'exchange': 'DENVER', 'company': 'T-MOBILE USA, INC.', 'adm1': 'CO'}]","https://www.google.com/maps/place/Hot+Water+Now%21/@39.7433392,-105.08177859999999,17z/data=!3m1!4b1!4m5!3m4!1s0x876b815a5a13dae5:0x3ce3f51a50fd910d!8m2!3d39.7433392!4d-105.08177859999999",,"{'domain': 'hotwaternowco.com', 'platform': None, 'url': 'https://www.hotwaternowco.com/'}",1677 Wadsworth Blvd,Colorado,Lakewood,80214
